query,context,label,source,query_length
Discuss how artificial intelligence may reshape global employment in the next decade.,"Complex, analytical or critical reasoning required.",A,synthetic,85
What color is the sky?,Basic knowledge or simple fact question.,S,synthetic,22
"seimas sejm , sojm , belarusian сойм early parliament grand duchy lithuania, union lublin created new state, polish–lithuanian commonwealth, joined seimas lithuania sejm poland one organization, bicameral parliament polish–lithuanian commonwealth officially titled","['Radziwiłł family', 'Lipka Tatars', 'Union of Lublin']",A,HotpotQA,344
What is water made of?,Basic knowledge or simple fact question.,S,synthetic,22
martha stewart living tall timber short line considered,"['Kids (2000s magazine)', 'Martha Stewart Living Radio', 'Benton Sans']",A,HotpotQA,75
Explain how seasons change with Earth's tilt.,Moderate explanation or descriptive answer required.,M,synthetic,45
Critically assess the role of social media in shaping political polarization.,"Complex, analytical or critical reasoning required.",A,synthetic,77
Critically assess the role of social media in shaping political polarization.,"Complex, analytical or critical reasoning required.",A,synthetic,77
beyoncé release formation,"On February 6, 2016, one day before her performance at the Super Bowl, Beyoncé released a new single exclusively on music streaming service Tidal called ""Formation"".",S,SQuAD,35
many grammy award beyoncé win first solo album,"Beyoncé Giselle Knowles-Carter (/biːˈjɒnseɪ/ bee-YON-say) (born September 4, 1981) is an American singer, songwriter, record producer and actress. Born and raised in Houston, Texas, she performed in various singing and dancing competitions as a child, and rose to fame in the late 1990s as lead singer of R&B girl-group Destiny's Child. Managed by her father, Mathew Knowles, the group became one of the world's best-selling girl groups of all time. Their hiatus saw the release of Beyoncé's debut al",S,SQuAD,64
"edwin van der sar spoke crowd firework incident april 20, 2014 knvb cup final match. team game","['2008 KNVB Cup Final', '2014 KNVB Cup Final', '2009 KNVB Cup Final']",A,HotpotQA,142
What are the main causes of World War I?,Moderate explanation or descriptive answer required.,M,synthetic,40
according 2006 census population city james iroha uchechukwu born,"['Tabas-e Masina', 'Aghajari', 'Sareyn County']",A,HotpotQA,106
Evaluate the effectiveness of international policies in reducing carbon emissions.,"Complex, analytical or critical reasoning required.",A,synthetic,82
How does gravity affect objects differently on Earth and the Moon?,Moderate explanation or descriptive answer required.,M,synthetic,66
beyonce fan base called,"The Bey Hive is the name given to Beyoncé's fan base. Fans were previously titled ""The Beyontourage"", (a portmanteau of Beyoncé and entourage). The name Bey Hive derives from the word beehive, purposely misspelled to resemble her first name, and was penned by fans after petitions on the online social networking service Twitter and online news reports during competitions.",S,SQuAD,34
Discuss how artificial intelligence may reshape global employment in the next decade.,"Complex, analytical or critical reasoning required.",A,synthetic,85
Analyze the economic impacts of climate change on developing countries.,"Complex, analytical or critical reasoning required.",A,synthetic,71
Why do we see different phases of the moon?,Moderate explanation or descriptive answer required.,M,synthetic,43
year student union building notre dame get renamed lafortune center,"A Science Hall was built in 1883 under the direction of Fr. Zahm, but in 1950 it was converted to a student union building and named LaFortune Center, after Joseph LaFortune, an oil executive from Tulsa, Oklahoma. Commonly known as ""LaFortune"" or ""LaFun,"" it is a 4-story building of 83,000 square feet that provides the Notre Dame community with a meeting place for social, recreational, cultural, and educational activities. LaFortune employs 35 part-time student staff and 29 full-time non-student",S,SQuAD,90
"summarize article tehran, iran cnn -- twenty-nine people convicted various crimes, ranging murder public nuisance drunk, hanged iran, state tv said. convicted iranian drug dealer hanged crane southern city shiraz september. iran semi-official far news age","Twenty-nine convicts were hanged, according to Iranian state TV .
Convicts were found guilty of murder, rape, armed robbery and other charges .
Judiciary said hangings should serve as warning to those contemplating crimes .",M,CNN,324
Discuss how artificial intelligence may reshape global employment in the next decade.,"Complex, analytical or critical reasoning required.",A,synthetic,85
Explain how seasons change with Earth's tilt.,Moderate explanation or descriptive answer required.,M,synthetic,45
"summarize article cnn -- eos airlines, business-class carrier, declared bankruptcy stopped operation sunday. new york-based airline reconfigured 220-seater boeing 757s 48 seat could extend fully flat beds. seat also allowed passenger -- guest airline prefered","New York-based business class airline Eos declares bankruptcy .
Luxury carrier charged up to $9,000 roundtrip from New York to London .
Analysts blame high fuel costs, slowing economy, credit crunch for industry problems .",M,CNN,324
"summarize article like nearly everything else clinton-related week, hillary clinton convention speech remained question mark last minute. overriding goal hillary clinton tuesday night redirect supporter toward barack obama. content mystery even close","Crowley: Sen. Hillary Clinton delivered with her speech at the Democratic convention .
Gergen: This was ""perhaps her finest hour in politics""
Castellanos: Call it the ""lesser of two evils"" speech .",M,CNN,324
What is water made of?,Basic knowledge or simple fact question.,S,synthetic,22
How does the water cycle contribute to life on Earth?,Moderate explanation or descriptive answer required.,M,synthetic,53
letter addressed,"In 2015 Beyoncé signed an open letter which the ONE Campaign had been collecting signatures for; the letter was addressed to Angela Merkel and Nkosazana Dlamini-Zuma, urging them to focus on women as they serve as the head of the G7 in Germany and the AU in South Africa respectively, which will start to set the priorities in development funding before a main UN summit in September 2015 that will establish new development goals for the generation.",S,SQuAD,32
"high school nfl quarterback, heisman winner, ou football player graduate","['Marcus Vick', ""Wendy's High School Heisman"", 'Ty Detmer']",A,HotpotQA,91
What color is the sky?,Basic knowledge or simple fact question.,S,synthetic,22
Explain how seasons change with Earth's tilt.,Moderate explanation or descriptive answer required.,M,synthetic,45
place lano estacado buda limestone geological formation,"['Como Bluff', 'Arikok National Park', 'High Plains (United States)']",A,HotpotQA,86
bootylicious song act beyonce performed,"Beyoncé has been described as a having a wide-ranging sex appeal, with music journalist Touré writing that since the release of Dangerously in Love, she has ""become a crossover sex symbol"". Offstage Beyoncé says that while she likes to dress sexily, her onstage dress ""is absolutely for the stage."" Due to her curves and the term's catchiness, in the 2000s, the media often used the term ""Bootylicious"" (a portmanteau of the words booty and delicious) to describe Beyoncé, the term popularized by Des",S,SQuAD,67
How does the water cycle contribute to life on Earth?,Moderate explanation or descriptive answer required.,M,synthetic,53
Explain how photosynthesis works in plants.,Moderate explanation or descriptive answer required.,M,synthetic,43
"summarize article washington cnn -- sen. hillary clinton chief presidential campaign strategist quitting post amid criticism public relation firm contact colombian government pending free-trade deal, clinton campaign announced. mark penn continue advise hillary clinton","Mark Penn is CEO of public relations giant Burson-Marsteller .
Penn met with Colombia ambassador over trade pact .
Colombia fired Penn's company on Saturday .
Penn will continue to have advisory role in campaign .",M,CNN,324
Explain how photosynthesis works in plants.,Moderate explanation or descriptive answer required.,M,synthetic,43
What are the main causes of World War I?,Moderate explanation or descriptive answer required.,M,synthetic,40
"summarize article mental floss -- everyone go rebellious phase. and, lucky, able look back year laugh. less lucky, spent year reality show, rest time, million stranger look back laugh instead. modern tim","Justa Grata Honoria plotted to kill her emperor of Roman Empire .
When first plot failed, she offered to marry Attila the Hun .
He failed to annihilate Rome, or marry her .
She then suffered the fate she dreaded .",M,CNN,324
ancient roman town near fusaro lake commune,"['Villa Poppaea', 'Camulodunum', 'Vannida']",A,HotpotQA,67
"summarize article london, england cnn -- video chaos horrified reaction july 7, 2005, london transit bombing shown juror thursday trial three men charged conspiracy case. smoke dust fill platform area liverpool street station july 7, 2005,","Jurors see video evidence in the trial of three men charged with conspiracy .
One video shows explosion seconds after train leaves Liverpool Street Station .
Videos also show three of four suspects in London transport bombings .",M,CNN,324
"summarize article pella, iowa cnn -- senior aide republican presidential candidate mike huckabee admitted friday former arkansas governor no foreign policy credential comment reacting assassination former pakistani prime minister benazir bhutto raised questions. e","NEW: Aide admits that Huckabee has ""no foreign policy credentials""
NEW: Campaign official suggested tying Pakistan crisis to immigration issue .
Huckabee appeared not to know that martial law had been lifted in Pakistan .
Gaffes will have little effect on support for populist candidate, analyst says .",M,CNN,324
alvarezsauroidea named physicist nobel prize physic year,"['List of female Nobel laureates', 'List of Danish Nobel laureates', 'Aage Bohr']",A,HotpotQA,93
Critically assess the role of social media in shaping political polarization.,"Complex, analytical or critical reasoning required.",A,synthetic,77
Examine the philosophical implications of quantum mechanics on free will.,"Complex, analytical or critical reasoning required.",A,synthetic,73
british politician northern ireland democratic unionist party member parliament east antrim represents constituency known east antrim,"['Trevor Clarke', 'Sammy Wilson (politician)', 'East Antrim by-election, 1986']",A,HotpotQA,169
"summarize article jakarta, indonesia cnn -- indonesian court sentenced alleged military commander al qaeda-linked terror network 15 year prison. abu dujana suspected plotting attack australian embassy j.w. marriott hotel jakarta. abu dujana alleged leader","Indonesian court sentences Abu Dujana to 15 years in prison .
Dujana is the alleged leader of the military wing of Jemaah Islamiyah .
Dujana is accused of direct involvement in the Bali nightclub bombings of 2002 .
After his arrest last June, Dujana admitted he was Jemaah Islamiyah's military chief .",M,CNN,324
"summarize article gerolstein, germany -- mineral water company gerolsteiner decided drop sponsorship german protour cycling team, expires end 2008 season. german rider stefan schumacher member gerolsteiner team. gerolsteiner, team sponsor since 1998,","The Gerolsteiner company is ending its sponsorship of the Pro Tour team .
They have been team sponsors since 1998 and their contract ends next year .
Stefan Schumacher and Davide Rebellin are leading team members .
T-Mobile have fired Lorenzo Bernucci after a positive dope test .",M,CNN,324
What is 2+2?,Basic knowledge or simple fact question.,S,synthetic,12
many record beyonce sold 19 year career,"A self-described ""modern-day feminist"", Beyoncé creates songs that are often characterized by themes of love, relationships, and monogamy, as well as female sexuality and empowerment. On stage, her dynamic, highly choreographed performances have led to critics hailing her as one of the best entertainers in contemporary popular music. Throughout a career spanning 19 years, she has sold over 118 million records as a solo artist, and a further 60 million with Destiny's Child, making her one of the ",S,SQuAD,56
sits top main building notre dame,"Architecturally, the school has a Catholic character. Atop the Main Building's gold dome is a golden statue of the Virgin Mary. Immediately in front of the Main Building and facing it, is a copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes"". Next to the Main Building is the Basilica of the Sacred Heart. Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection. It is a replica of the grotto at Lourdes, France where the Virgin Mary reputed",S,SQuAD,52
Examine the philosophical implications of quantum mechanics on free will.,"Complex, analytical or critical reasoning required.",A,synthetic,73
"summarize article london, england cnn -- chronology bombing attempted bomb attack mainland uk since 1970s . police close street around haymarket, london busy theater district. june 29, 2007 police defuse bomb consisting 200 liter fuel, gas cylinder nail found","Two cars loaded with gasoline and nails found abandoned in London Friday .
52 people killed on July 7, 2005 after bombs exploded on London bus, trains .
British capital wracked by violence by the IRA for years .",M,CNN,324
Examine the philosophical implications of quantum mechanics on free will.,"Complex, analytical or critical reasoning required.",A,synthetic,73
Discuss how artificial intelligence may reshape global employment in the next decade.,"Complex, analytical or critical reasoning required.",A,synthetic,85
"rather beats, two thing beyoncé usually come producer","She has received co-writing credits for most of the songs recorded with Destiny's Child and her solo efforts. Her early songs were personally driven and female-empowerment themed compositions like ""Independent Women"" and ""Survivor"", but after the start of her relationship with Jay Z she transitioned to more man-tending anthems such as ""Cater 2 U"". Beyoncé has also received co-producing credits for most of the records in which she has been involved, especially during her solo efforts. However, sh",S,SQuAD,83
"summarize article washington cnn -- former illinois gov. george ryan co-defendant lost another legal round supreme court tuesday remain prison federal racketeering fraud convictions. ex-gov. george ryan walk chicago, illinois, courthouse april 2006 conviction.","George Ryan, co-defendant claim they didn't get fair trial in 2006 .
Justices refuse to intervene in case, give no reason why .
The men were convicted on charges related to bribery .
Ryan, a Republican, served as Illinois governor from 1999-2003 .",M,CNN,324
What color is the sky?,Basic knowledge or simple fact question.,S,synthetic,22
many grammy award beyoncé,"A self-described ""modern-day feminist"", Beyoncé creates songs that are often characterized by themes of love, relationships, and monogamy, as well as female sexuality and empowerment. On stage, her dynamic, highly choreographed performances have led to critics hailing her as one of the best entertainers in contemporary popular music. Throughout a career spanning 19 years, she has sold over 118 million records as a solo artist, and a further 60 million with Destiny's Child, making her one of the ",S,SQuAD,39
Explain how photosynthesis works in plants.,Moderate explanation or descriptive answer required.,M,synthetic,43
amount win knute rockne attained notre dame head coach,"One of the main driving forces in the growth of the University was its football team, the Notre Dame Fighting Irish. Knute Rockne became head coach in 1918. Under Rockne, the Irish would post a record of 105 wins, 12 losses, and five ties. During his 13 years the Irish won three national championships, had five undefeated seasons, won the Rose Bowl in 1925, and produced players such as George Gipp and the ""Four Horsemen"". Knute Rockne has the highest winning percentage (.881) in NCAA Division I/",S,SQuAD,81
Who wrote Hamlet?,Basic knowledge or simple fact question.,S,synthetic,17
Explain how seasons change with Earth's tilt.,Moderate explanation or descriptive answer required.,M,synthetic,45
What is the capital of Egypt?,Basic knowledge or simple fact question.,S,synthetic,29
kind activity niche-themed product bookchase san marco,"['San Marco Altarpiece', 'San Marco programme', 'Porta San Marco, Siena']",A,HotpotQA,76
"summarize article washington cnn -- called defining moment nation, sen. barack obama tuesday became first african-american head ticket major political party. sen. barack obama tuesday told supporter democratic nominee. obama steady stream superdelega","NEW: Clinton says she's not making any decisions tonight .
NEW: CNN projects Clinton wins South Dakota; Obama takes Montana .
Obama passes delegate threshold .
Clinton tells New York lawmakers she would be Obama's No. 2 .",M,CNN,324
"summarize article cnn -- sin hwa dee began operation 1970s cottage industry former soya sauce-producing enclave kim chuan road, paya lebar area singapore. mr. mrs. chng kee started producing soya oyster sauces, bean paste plum paste 1970s. founded th","Sin Hwa Dee founded by former soya salesman and soya production operator .
One of Sin Hwa Dee's factories dedicated exclusively to Yu Sheng products .
In 2005, Sin Hwa Dee moved into their own building, CHNG Kee's Foodlink .",M,CNN,324
"royal commission drug trafficking 1977–1979 woodward royal commission royal commission initiated new south wale government investigate drug trafficking new south wales, australia, especially link new south wale police mafia, honoured society, calabrian ndrangheta criminal confederation, started melbourne currently active country","['List of Commissioners of New South Wales Police', 'Royal Commission into Drug Trafficking', 'New South Wales Police Force']",A,HotpotQA,418
"theatre new york city play, described marxism using figure christmas pantomime united kingdom, perform","['Marina Kamen', 'Pantomime', 'New York City']",A,HotpotQA,146
title notre dame theodore hesburgh,"The Joan B. Kroc Institute for International Peace Studies at the University of Notre Dame is dedicated to research, education and outreach on the causes of violent conflict and the conditions for sustainable peace. It offers PhD, Master's, and undergraduate degrees in peace studies. It was founded in 1986 through the donations of Joan B. Kroc, the widow of McDonald's owner Ray Kroc. The institute was inspired by the vision of the Rev. Theodore M. Hesburgh CSC, President Emeritus of the Universi",S,SQuAD,52
What is 5*6?,Basic knowledge or simple fact question.,S,synthetic,12
film featured destiny child first major single,"The group changed their name to Destiny's Child in 1996, based upon a passage in the Book of Isaiah. In 1997, Destiny's Child released their major label debut song ""Killing Time"" on the soundtrack to the 1997 film, Men in Black. The following year, the group released their self-titled debut album, scoring their first major hit ""No, No, No"". The album established the group as a viable act in the music industry, with moderate sales and winning the group three Soul Train Lady of Soul Awards for Bes",S,SQuAD,57
Analyze the economic impacts of climate change on developing countries.,"Complex, analytical or critical reasoning required.",A,synthetic,71
anton-hermann chroust come reach notre dame,"The rise of Hitler and other dictators in the 1930s forced numerous Catholic intellectuals to flee Europe; president John O'Hara brought many to Notre Dame. From Germany came Anton-Hermann Chroust (1907–1982) in classics and law, and Waldemar Gurian a German Catholic intellectual of Jewish descent. Positivism dominated American intellectual life in the 1920s onward but in marked contrast, Gurian received a German Catholic education and wrote his doctoral dissertation under Max Scheler. Ivan Mešt",S,SQuAD,62
How does the water cycle contribute to life on Earth?,Moderate explanation or descriptive answer required.,M,synthetic,53
Examine the philosophical implications of quantum mechanics on free will.,"Complex, analytical or critical reasoning required.",A,synthetic,73
"die meistersinger von nürnberg iphigénie en aulide, type music drama","['Die Meistersinger von Nürnberg', ""Le feste d'Apollo"", 'Anna Kaufmann']",A,HotpotQA,86
new line launch,"In October 2014, it was announced that Beyoncé with her management company Parkwood Entertainment would be partnering with London-based fashion retailer Topshop, in a new 50/50 split subsidiary business named Parkwood Topshop Athletic Ltd. The new division was created for Topshop to break into the activewear market, with an athletic, street wear brand being produced. ""Creating a partnership with Beyoncé, one of the most hard-working and talented people in the world, who spends many hours of her ",S,SQuAD,30
"summarize article cnn -- ten thousand congolese refugee fled camp tuesday democratic republic congo rebel troop attacked government force area, u.n. refugee agency said. refugee move along road tuesday mugunga, near goma, democratic republic congo. press release","NEW: Congo rebels blame Rwandan Hutus for attack, report says .
Internally displaced Congolese flee as rebels attack government troops .
Torrential rain makes refugee movement difficult .
U.N. refugee agency: Some 375,000 have been forced from homes in past year .",M,CNN,324
Discuss how artificial intelligence may reshape global employment in the next decade.,"Complex, analytical or critical reasoning required.",A,synthetic,85
Who wrote Hamlet?,Basic knowledge or simple fact question.,S,synthetic,17
What color is the sky?,Basic knowledge or simple fact question.,S,synthetic,22
Who wrote Hamlet?,Basic knowledge or simple fact question.,S,synthetic,17
"alamgir joined meesha shafi, strings, ali azmat shahzad hasan judge popular show","['Waar', 'Mor Mahal', 'Two+Two (2017 film)']",A,HotpotQA,99
What is the opposite of hot?,Basic knowledge or simple fact question.,S,synthetic,28
Critically assess the role of social media in shaping political polarization.,"Complex, analytical or critical reasoning required.",A,synthetic,77
What is the opposite of hot?,Basic knowledge or simple fact question.,S,synthetic,28
Explain how photosynthesis works in plants.,Moderate explanation or descriptive answer required.,M,synthetic,43
"summarize article cnn -- chief operating officer national child museum arrested tuesday charged distributing child pornography internet, authority said. robert a. singer accused sending image depicting child pornography people believed 12-year-old girl","Robert A. Singer is accused of e-mailing child porn to 12-year-old girl .
12-year-old girl was actually undercover New York City detective .
Singer was identified in court document as National Children's Museum spokesman .
Washington museum officials say they are ""horrified"" by the charges .",M,CNN,324
What is 2+2?,Basic knowledge or simple fact question.,S,synthetic,12
Discuss how artificial intelligence may reshape global employment in the next decade.,"Complex, analytical or critical reasoning required.",A,synthetic,85
historical name acid dissolve phenazine,"['Dorobanțu, Tulcea', 'Iodic acid', 'Yulin, Guangxi']",A,HotpotQA,65
How does the water cycle contribute to life on Earth?,Moderate explanation or descriptive answer required.,M,synthetic,53
What are the main causes of World War I?,Moderate explanation or descriptive answer required.,M,synthetic,40
year notre dame create office sustainability,"The University of Notre Dame has made being a sustainability leader an integral part of its mission, creating the Office of Sustainability in 2008 to achieve a number of goals in the areas of power generation, design and construction, waste reduction, procurement, food services, transportation, and water.As of 2012[update] four building construction projects were pursuing LEED-Certified status and three were pursuing LEED Silver. Notre Dame's dining services sources 40% of its food locally and o",S,SQuAD,64
summarize article washington cnn -- national transportation safety board said thursday investigating incident panel separated wing boeing 757 flight last week. ireporter flight 1250 passenger paul shepherd took photo damage aircr,"The National Transportation Safety Board is investigating US Airways flight .
Plane was en route from Orlando, Florida, to Philadelphia, Pennsylvania .
Wing panel struck several windows, cracking the outer pane of one .
Plane landed in Philadelphia about 30 minutes after the incident with no injuries .",M,CNN,324
"summarize article washington cnn -- president bush vetoed expansion federally funded, state-run health insurance program poor child second time wednesday, telling congress bill move country health care system wrong direction. veto message, president bush call co","President Bush: Measure is ""essentially identical"" to the proposal he vetoed before .
Bill would have expanded the State Children's Health Insurance Program .
Bush: Measure ""moves our country's health care system in the wrong direction""
Program covers 6 million children whose parents don't qualify for Medicaid .",M,CNN,324
What is the capital of Egypt?,Basic knowledge or simple fact question.,S,synthetic,29
Discuss how artificial intelligence may reshape global employment in the next decade.,"Complex, analytical or critical reasoning required.",A,synthetic,85
Explain how seasons change with Earth's tilt.,Moderate explanation or descriptive answer required.,M,synthetic,45
Examine the philosophical implications of quantum mechanics on free will.,"Complex, analytical or critical reasoning required.",A,synthetic,73
How does the water cycle contribute to life on Earth?,Moderate explanation or descriptive answer required.,M,synthetic,53
host voice uk doctor,"['Tanya Lacey', 'The Voice UK discography', 'Becky Hill']",A,HotpotQA,46
beyoncé tie grammy nomination female artist,"At the 52nd Annual Grammy Awards, Beyoncé received ten nominations, including Album of the Year for I Am... Sasha Fierce, Record of the Year for ""Halo"", and Song of the Year for ""Single Ladies (Put a Ring on It)"", among others. She tied with Lauryn Hill for most Grammy nominations in a single year by a female artist. In 2010, Beyoncé was featured on Lady Gaga's single ""Telephone"" and its music video. The song topped the US Pop Songs chart, becoming the sixth number-one for both Beyoncé and Gaga,",S,SQuAD,76
What is water made of?,Basic knowledge or simple fact question.,S,synthetic,22
What is the largest planet?,Basic knowledge or simple fact question.,S,synthetic,27
What is the capital of Egypt?,Basic knowledge or simple fact question.,S,synthetic,29
"musical comedy beyoncé star along cuba gooding, jr. 2003","In July 2002, Beyoncé continued her acting career playing Foxxy Cleopatra alongside Mike Myers in the comedy film, Austin Powers in Goldmember, which spent its first weekend atop the US box office and grossed $73 million. Beyoncé released ""Work It Out"" as the lead single from its soundtrack album which entered the top ten in the UK, Norway, and Belgium. In 2003, Beyoncé starred opposite Cuba Gooding, Jr., in the musical comedy The Fighting Temptations as Lilly, a single mother whom Gooding's cha",S,SQuAD,77
Analyze the economic impacts of climate change on developing countries.,"Complex, analytical or critical reasoning required.",A,synthetic,71
Examine the philosophical implications of quantum mechanics on free will.,"Complex, analytical or critical reasoning required.",A,synthetic,73
What is the largest planet?,Basic knowledge or simple fact question.,S,synthetic,27
Discuss how artificial intelligence may reshape global employment in the next decade.,"Complex, analytical or critical reasoning required.",A,synthetic,85
What is 2+2?,Basic knowledge or simple fact question.,S,synthetic,12
tribe american horse part,"['Maryland Horse Industry Board', 'Havre de Grace (horse)', 'John Wallace Crawford']",A,HotpotQA,41
"summarize article dhaka, bangladesh cnn -- 1,700 people died bangladesh devastating tropical cyclone ripped western coast country, toll expected rise, government spokesman tell cnn. family stand amid wreckage caused cyclone friday southe","More than 1,700 people dead, toll expected to rise, official says .
15,000 people are injured following Thursday's tropical Cyclone Sidr .
U.N. World Food Programme has food for 400,000 people for three days .
Power outages, massive traffic jams and poor phone service in Dhaka .",M,CNN,324
emporio armani fragrance beyoncé promote 2007,"Beyoncé has worked with Tommy Hilfiger for the fragrances True Star (singing a cover version of ""Wishing on a Star"") and True Star Gold; she also promoted Emporio Armani's Diamonds fragrance in 2007. Beyoncé launched her first official fragrance, Heat in 2010. The commercial, which featured the 1956 song ""Fever"", was shown after the water shed in the United Kingdom as it begins with an image of Beyoncé appearing to lie naked in a room. In February 2011, Beyoncé launched her second fragrance, Hea",S,SQuAD,59
How does the water cycle contribute to life on Earth?,Moderate explanation or descriptive answer required.,M,synthetic,53
"world best prom shape moon, film genre","['Waxie Moon', 'Best Prom Ever', 'Bleuette Bernon']",A,HotpotQA,70
Examine the philosophical implications of quantum mechanics on free will.,"Complex, analytical or critical reasoning required.",A,synthetic,73
oscar-nominated film written screenwriter wrote 1991 romantic drama based upon screenplay sooni taraporevala,"['Mississippi Masala', 'Part 2, Sounder', 'Sooni Taraporevala']",A,HotpotQA,137
What is the largest planet?,Basic knowledge or simple fact question.,S,synthetic,27
sport pieter ny fortuna sittard common,"['Lars Hutten', 'Ferhat Kaya', 'Miguel Santos (footballer)']",A,HotpotQA,62
What are the main causes of World War I?,Moderate explanation or descriptive answer required.,M,synthetic,40
Explain how seasons change with Earth's tilt.,Moderate explanation or descriptive answer required.,M,synthetic,45
What is the largest planet?,Basic knowledge or simple fact question.,S,synthetic,27
Why do we see different phases of the moon?,Moderate explanation or descriptive answer required.,M,synthetic,43
"summarize article khartoum, sudan cnn -- sudan entire state apparatus mobilized plan, commit, cover crime war-torn area darfur, prosecutor international criminal court said thursday. united nation estimate 2.5 million people forced home darf","International Criminal Court: Sudan ""taken no steps"" to arrest Darfur war criminals .
One suspect now in charge of humanitarian affairs for Sudanese government .
Allegations stem from 2003 counter-insurgency campaign by Sudanese government .
United Nations estimates about 300,000 people have died in Darfur region .",M,CNN,324
"summarize article washington cnn -- national hurricane center director bill proenza left position monday, day nearly half nhc staff signed petition calling ouster. hurricane center bill proenza left job director monday. proenza still employed national oceanic","National Hurricane Center director Bill Proenza has left his position .
Nearly half of the NHC signed a petition calling for him to step down .
Proenza came under fire for comments he made about the QuikSCAT satellite .
Staff unhappy with environment of closed doors, public bickering .",M,CNN,324
What is the largest planet?,Basic knowledge or simple fact question.,S,synthetic,27
Evaluate the effectiveness of international policies in reducing carbon emissions.,"Complex, analytical or critical reasoning required.",A,synthetic,82
What is 5*6?,Basic knowledge or simple fact question.,S,synthetic,12
"summarize article cnn -- explorer dennis schmitt found island nearly two year ago near greenland. fisherman pas greenland ilulissat fjord september 2004 picture. discovery would usually elicit curiosity, even wonder perhaps, evoked mixed feeling explorer. island","Earth has warmed one degree in past 100 years .
Majority of scientists say greenhouse gases are causing temperatures to rise .
Some critics say planets often in periods of warming or cooling .",M,CNN,324
Examine the philosophical implications of quantum mechanics on free will.,"Complex, analytical or critical reasoning required.",A,synthetic,73
Discuss how artificial intelligence may reshape global employment in the next decade.,"Complex, analytical or critical reasoning required.",A,synthetic,85
